2007-2008,SA2_2016_A,SA2_2016_1,SA2_2016_2,SA2_2016_3,SA2_2016_4,SA2_2016_5,SA2_2016_6,SA2_2016_7,SA2_2016_8,SA2_2016_9,SA2_201_10,SA2_201_11,SA2_to_GM_,SA2_to_GM1,SA2_OBJECT,SA2_Code,SA2_Region,SA2_Code_t,Shape_Leng,Shape_Area
268.5250459374128,209011197,21197,Greensborough,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,10.0974,0,,0,0,,0,0.197731395266,0.00103156120301
396.9999591432115,209011198,21198,Heidelberg - Rosanna,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,6.3717,0,,0,0,,0,0.136496760719,0.00065138607128
397.022179397929,209011199,21199,Heidelberg West,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,6.6912,0,,0,0,,0,0.122596560411,0.000684011624426
396.86880293155355,209011200,21200,Ivanhoe,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,5.0499,0,,0,0,,0,0.160205544065,0.000516432964816
397.00000799890097,209011201,21201,Ivanhoe East - Eaglemont,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,4.2769,0,,0,0,,0,0.120029419388,0.000437422399801
268.1940500162759,209011202,21202,Montmorency - Briar Hill,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,12.0278,0,,0,0,,0,0.222768689013,0.00122927823147
396.82017544159373,209011203,21203,Viewbank - Yallambie,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,10.2379,0,,0,0,,0,0.196074530078,0.00104644712338
268.0582198311092,209011204,21204,Watsonia,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,3.7856,0,,0,0,,0,0.115172283804,0.000386777110979
627.8490522147374,209021205,21205,Kingsbury,20902,Darebin - North,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,9.0093,0,,0,0,,0,0.174782087004,0.000920585666615
627.9798879187206,209021207,21207,Reservoir - East,20902,Darebin - North,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,8.9663,0,,0,0,,0,0.173843778566,0.000916249113779
627.6624214215691,209021208,21208,Reservoir - West,20902,Darebin - North,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,10.1544,0,,0,0,,0,0.171798618757,0.00103764544198
627.9710633852011,209021428,21428,Preston - East,20902,Darebin - North,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,7.7457,0,,0,0,,0,0.132441770018,0.000791688338406
627.9272463842042,209021429,21429,Preston - West,20902,Darebin - North,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,3.5679,0,,0,0,,0,0.0819868301656,0.000364677706493
78.48393879253967,209031209,21209,Eltham,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,19.4881,0,,0,0,,0,0.264216415831,0.00199130839798
48.09649910032749,209031210,21210,Hurstbridge,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,14.8421,0,,0,0,,0,0.299488339093,0.00151505517263
57.753065433794205,209031211,21211,Kinglake,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,319.504,0,,0,0,,0,1.31474211558,0.0325521548678
