region_id,B112
2021012,1147.1
2021013,1471.5
2021101,967.9
2021102,1072.4
2021103,660.6
2021104,991.9
2021105,1049.8
2021106,1073.3
2021107,1063.3
2021108,990
2021109,747.4
2021110,557.1
2021111,836.7
2021112,1005
2021113,1060.6
2021114,1005.7
2021115,1088.4
2021201,1026.3
2021202,567.2
2021203,630.8
2021204,959.2
2021205,617.7
2021206,344.5
2021207,685.8
2021208,1241
2021209,645
2021210,1037.7
2021211,1085.3
2021212,750.8
2021213,910.9
2021214,0
2021215,823.7
2021216,1266.3
2021301,1084.2
2021302,1136.4
2021303,1058
2021304,979.1
2021305,971.9
2021306,1005.5
2021307,1091.5
2021308,819.9
2021309,1224.9
2021310,1144.7
2021311,1008.5
2021401,1157.5
2021402,855.3
2021403,911.4
2021404,913.7
2021405,1464.1
2021406,1146.6
2021407,1158.7
2021408,1435.2
2021409,1149.3
2021410,1238.9
2021411,1456.7
2021412,1061.2
2021413,1051
2021414,1619.3
2021415,1132.7
2021416,1474.8
2021417,1423.4
2021418,537.3
2021419,1167.3
2021420,274.8
2021501,1051.1
2021502,1162.8
2021503,374.8
2021504,919.4
2021505,545.7
2021506,732
2021507,1195.2
2021508,471.1
2021509,1131.8
2021510,1362.3
2021511,1181.7
2021601,1041.7
2021602,754.3
2021603,882.9
2021604,911.2
2021605,982.4
2021606,625.3
2021607,735.7
2021608,1049.8
2021609,729.8
2021610,839.8
2021611,854.3
2021612,743.1
2021613,643.3
2021614,1088.4
2021701,748.2
2021702,836.2
2021703,609.4
2021704,1045.6
2021705,609.8
2021706,689.4
2021707,873.3
2021708,793.3
2021709,600.2
2021710,679.8
2021711,1014.7
2021712,972.5
2021713,1059.7
2021801,937.8
2021802,628.4
2021803,662.4
2021804,672.9
2021805,610.7
2021806,718.3
2021807,735.7
2021808,771.6
2021809,879.6
2021810,668.1
2021811,879
2021812,834.4
2030101,965.8
2030102,859.7
2030103,538.5
2030104,647
2030105,949.3
2030106,944.7
2030107,644.8
2030108,553.5
2030109,849.8
2030110,940.2
2030201,1022.1
2030202,1040.7
2030203,899.5
2030204,984.8
2030205,899.5
2030206,849.8
2030207,970.6
2030208,597.4
2030209,545.8
2030210,1127.9
2030301,581.3
2030302,570.1
2030303,561.5
2030304,705.9
2030305,565.2
2030306,687.3
2030307,1014.2
2030308,779.4
2030309,620.3
2030310,761.8
2030311,625.8
2030312,949.3
2030313,806.1
2030314,1174.1
2030315,1012.8
2030401,1139.3
2030402,1149.3
2030403,909.1
2030404,856
2030405,645.1
2030406,1159.2
2030407,853.1
2030408,1155.1
2030409,823.7
2030410,679.8
2030501,0
2030502,1287.1
2030503,733.8
2030504,1299.5
2030505,639.3
2030506,694.7
2030507,829.9
2030508,768.2
2030509,1170
2030510,1570.3
2030511,765.1
2030512,587.6
2030513,1131.3
2030514,1266.3
2030601,613
2030602,1012.9
2030603,593.1
2030604,1384.8
2030605,1453.4
2030606,1067.7
2030607,602.9
2030608,1073.8
2030609,617.1
2030610,695.8
2030611,881.9
2030612,984.3
2030613,1184.3
2030614,1229.8
2030615,1010.6
2030616,1515.5
2030617,1277.4
2030701,1050.9
2030702,736.4
2030703,959.8
2030704,707.7
2030705,578.4
2030706,555.9
2030707,614.6
2030708,1052.4
2030709,603.7
2030710,678.7
2030711,928.3
2030712,1048.5
2030801,1207.2
2030802,1154.1
2030803,1292.9
2030804,1041.5
2030805,642.8
2030806,745.8
2030807,1627.2
2030808,633.3
2030809,1508.7
2030810,1045.4
2030811,878.6
2030812,1316.1
2030813,1693.7
2030814,1175
2030815,1683
2030901,1068.9
2030902,1233.2
2030903,1099.5
2030904,810
2030905,628.9
