region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
2107323,27,1733,635,275,1449,1.0,1256,2.8
2107324,34,2080,789,285,1883,1.0,1980,3.1
2107325,30,1733,813,270,1708,1.0,1682,3.2
2107326,37,2156,803,450,2294,1.0,2111,3.5
2107327,35,1733,563,265,1239,1.0,974,2.3
2107328,33,1400,490,198,978,1.1,966,2.5
2107329,29,1603,662,220,1390,1.1,1083,2.3
2107330,31,1300,443,190,873,1.1,775,2.4
2107331,36,1347,481,210,1279,1.0,915,2.6
2107332,34,1192,626,225,1230,1.1,1053,2.4
2107333,37,1300,596,225,1135,1.1,1010,2.4
2107334,30,1430,526,195,1359,1.1,1022,2.4
2107335,33,1094,549,235,1420,1.1,1062,2.6
2107401,45,1300,625,163,1583,1.1,1238,2.6
2107402,49,1950,488,220,1600,1.1,1394,2.7
2107403,38,1365,742,100,2083,1.1,2143,3.5
2107404,37,1733,729,240,1895,1.1,1903,3.0
2107405,28,1733,707,260,1593,1.1,1496,3.3
2107406,35,1820,700,350,1919,1.0,1818,3.3
2107407,43,1170,451,186,893,1.0,850,2.0
2107408,40,2167,914,50,1750,1.0,2812,2.6
2107409,40,1200,635,180,1333,1.1,1224,2.4
2107410,58,0,2000,0,0,0,0,0
2107411,38,1300,456,220,931,1.1,718,2.2
2107412,36,1343,530,208,1174,1.1,925,2.3
2107413,42,1240,396,139,895,1.1,741,2.1
2107414,33,1148,375,111,700,1.1,700,2.4
2107415,39,1530,727,345,2065,1.0,1907,3.0
2107416,37,2170,716,200,2109,1.0,1399,2.8
2107417,41,1500,465,210,1235,1.1,731,2.0
2107418,40,1170,488,220,1021,1.1,958,2.3
2107419,38,1408,645,208,1408,1.1,969,2.4
2107420,41,1387,510,230,1021,1.0,814,2.1
2107421,38,850,403,170,949,1.1,643,1.8
2107422,37,1174,431,174,906,1.1,739,2.0
2107423,45,1500,397,166,954,1.0,589,1.9
2107424,39,1560,509,185,966,1.1,838,2.0
2107425,42,1538,571,350,1428,1.1,1266,2.9
2107426,46,1788,633,320,1362,1.1,1375,2.6
2107427,35,1205,423,195,860,1.1,716,2.3
2107428,38,1010,498,195,1125,1.1,813,2.2
2107429,55,704,368,200,1568,1.0,733,1.9
2107430,39,1433,557,200,1174,1.1,811,1.9
2107431,43,1450,1142,0,2083,1.0,2583,2.1
2107432,35,1300,468,195,954,1.1,749,2.1
2107433,45,1517,549,258,1335,1.0,1076,2.4
2107434,36,1083,436,180,894,1.1,762,2.4
2107435,37,1387,704,380,1853,1.1,1833,2.8
2107436,28,1408,704,330,1468,1.0,1519,3.2
2107437,41,1694,596,285,1455,1.0,1345,2.8
2107438,41,1116,618,210,1204,1.1,1008,2.3
2107439,33,975,366,170,793,1.0,641,2.4
2107440,30,1690,672,250,1375,1.0,1364,2.8
2107441,29,1473,547,200,1075,1.1,1003,2.2
2107442,33,1300,502,195,949,1.1,741,2.3
2107443,32,1394,438,195,888,1.1,821,2.6
2107444,44,1603,696,305,1661,1.0,1594,2.8
2107445,40,1625,532,190,1300,1.1,771,1.9
2107446,27,1950,852,210,1750,1.0,1845,3.0
2107447,40,2167,753,230,2015,1.1,2053,3.6
2107448,33,0,774,0,0,1.0,1375,4.0
2107449,24,1560,825,315,1430,1.1,1410,2.1
2107450,33,1300,681,358,1233,1.1,909,2.0
2107451,39,1409,377,170,711,1.0,760,2.3
2107452,25,1656,705,230,1488,1.2,1304,2.7
2107453,37,1098,565,203,1347,1.1,1086,2.4
