SA2_MAINCODE_2011,2006_1,2006_2,2006_3,2006_4,2006_5,2006_6,2006_7,2006_8,2006_9,2006_10,2006_11,2006_12,mean_2006
210031238,292500.0,295000.0,290000.0,295000.0,290000.0,295000.0,297500.0,296250.0,295000.0,293000.0,291500.0,295000.0,293812.5
210031239,355000.0,350000.0,355000.0,350000.0,355000.0,355000.0,355000.0,355000.0,350000.0,350000.0,352500.0,350000.0,352708.3333333333
210041240,272000.0,279000.0,269000.0,270000.0,269000.0,268000.0,265000.0,269000.0,272250.0,267000.0,269000.0,269500.0,269895.8333333333
210041241,270000.0,267100.0,269700.0,269000.0,270540.0,274500.0,271080.0,270000.0,272150.0,275000.0,272590.0,268000.0,270805.0
210051242,217500.0,203750.0,207500.0,208250.0,220000.0,222500.0,220000.0,240000.0,210000.0,215000.0,215000.0,210000.0,215791.66666666666
210051243,227250.0,215000.0,220000.0,220000.0,227250.0,232500.0,229500.0,229500.0,220000.0,225000.0,220000.0,215000.0,223416.66666666666
210051244,260000.0,269000.0,270000.0,270000.0,260000.0,260000.0,259000.0,260000.0,270000.0,263000.0,268100.0,269000.0,264841.6666666667
210051245,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0
210051246,450000.0,450500.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,460000.0,450875.0
210051247,250000.0,232000.0,240000.0,240000.0,250000.0,250000.0,250000.0,250000.0,240000.0,250000.0,250000.0,235000.0,244750.0
210051248,405301.5602189781,409645.2609489051,404385.06751824816,405938.7737226277,406336.51459854015,403047.8996350365,405167.64598540147,402668.0018248175,406496.8613138686,405704.40510948905,404983.5510948905,406385.147810219,405505.05748175184
210051249,281000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280000.0,280083.3333333333
210051250,270000.0,270000.0,270000.0,270000.0,270000.0,262500.0,270000.0,262500.0,267500.0,270000.0,270000.0,270000.0,268541.6666666667
211011251,280000.0,279975.0,280000.0,282500.0,285000.0,280000.0,280000.0,280000.0,283500.0,283000.0,285000.0,279950.0,281577.0833333333
211011252,273000.0,273000.0,277000.0,270000.0,273000.0,273000.0,280000.0,273000.0,272500.0,273000.0,273000.0,271250.0,273479.1666666667
211011253,290000.0,295000.0,290000.0,287500.0,290000.0,288250.0,288250.0,290000.0,290000.0,290000.0,290000.0,294000.0,290250.0
211011254,280000.0,290000.0,290000.0,290000.0,280000.0,283500.0,280000.0,280000.0,290000.0,280000.0,287500.0,290000.0,285083.3333333333
211011255,430000.0,450000.0,450000.0,450000.0,430000.0,450000.0,450000.0,430000.0,450000.0,445000.0,447500.0,450000.0,444375.0
211011256,335000.0,340000.0,340000.0,350000.0,340000.0,320000.0,330000.0,320000.0,350000.0,340000.0,340000.0,350000.0,337916.6666666667
211011257,350000.0,375000.0,360000.0,365000.0,350000.0,350000.0,360000.0,350000.0,380000.0,350000.0,350000.0,380000.0,360000.0
211011258,366250.0,370000.0,370000.0,380000.0,360000.0,367500.0,368750.0,370000.0,374750.0,368750.0,370000.0,370000.0,369666.6666666667
211011259,322500.0,320000.0,320000.0,320000.0,320000.0,320000.0,325000.0,320000.0,320000.0,320000.0,320000.0,320000.0,320625.0
211011260,360000.0,350000.0,355000.0,350000.0,360000.0,350000.0,360000.0,350000.0,350000.0,355000.0,357500.0,350000.0,353958.3333333333
211021261,527500.0,550000.0,530000.0,530000.0,527500.0,519500.0,520000.0,530000.0,550000.0,530000.0,525000.0,550000.0,532458.3333333334
211021262,695000.0,641250.0,695000.0,710000.0,700000.0,640000.0,680000.0,600000.0,695000.0,700000.0,710000.0,650000.0,676354.1666666666
211031263,300000.0,285000.0,300000.0,300000.0,300000.0,300000.0,300000.0,309950.0,294000.0,300000.0,300000.0,289000.0,298162.5
211031264,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,290000.0,289950.0,290000.0,290000.0,290000.0,289995.8333333333
211031265,375000.0,385000.0,390000.0,390000.0,380000.0,370000.0,375000.0,370000.0,392475.0,380000.0,389975.0,395000.0,382704.1666666667
211031266,310000.0,319000.0,310000.0,310000.0,310000.0,300000.0,310000.0,300000.0,315000.0,310000.0,310000.0,319000.0,310250.0
211031267,314500.0,310000.0,310000.0,312500.0,310000.0,309950.0,314500.0,308725.0,310000.0,310000.0,309250.0,310000.0,310785.4166666667
