SA2_MAINCODE_2011,SA2_NAME_2011,SA2_5DIGITCODE_2011,SA3_CODE_2011,SA3_NAME_2011,SA4_CODE_2011,SA4_NAME_2011,GCCSA_CODE_2011,GCCSA_NAME_2011,STATE_CODE_2011,STATE_NAME_2011,AREA_ALBERS_SQM
211011254,Knoxfield - Scoresby,21254,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,15184179.87
211011255,Lysterfield,21255,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,18493746.98
211011256,Rowville - Central,21256,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,8200350.358
211011257,Rowville - North,21257,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4168493.564
211011258,Rowville - South,21258,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,9279162.99
211011259,Wantirna,21259,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,8306345.834
211011260,Wantirna South,21260,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,13361627.05
211021261,Donvale - Park Orchards,21261,21102,Manningham - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,20802671.25
211021262,Warrandyte - Wonga Park,21262,21102,Manningham - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,45759323.45
211031263,Bayswater North,21263,21103,Maroondah,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,9909335.289
211031264,Croydon,21264,21103,Maroondah,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,17747009.95
211031265,Croydon Hills - Warranwood,21265,21103,Maroondah,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,9492288.478
211031266,Ringwood,21266,21103,Maroondah,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,9916130.928
211031267,Ringwood East,21267,21103,Maroondah,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,9393292.117
211031268,Ringwood North,21268,21103,Maroondah,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4730897.274
211041269,Forest Hill,21269,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4070519.298
211041270,Mitcham (Vic.),21270,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,6627041.085
211041271,Nunawading,21271,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,5078212.063
211041272,Vermont,21272,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4609475.984
211041273,Vermont South,21273,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,6183987.251
211051274,Belgrave - Selby,21274,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,55634851.59
211051275,Chirnside Park,21275,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,22202661.83
211051276,Healesville - Yarra Glen,21276,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,369524248.5
211051277,Kilsyth,21277,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,8242155.634
211051278,Lilydale - Coldstream,21278,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,109381533.2
211051279,Monbulk - Silvan,21279,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,68555424.07
211051280,Montrose,21280,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,10543235.1
211051281,Mooroolbark,21281,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,12543903.74
211051282,Mount Dandenong - Olinda,21282,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,81899679.38
211051283,Mount Evelyn,21283,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,16989761.82
211051284,Upwey - Tecoma,21284,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,8891215.409
