,STOP_ID,STOP_NAME,ROUTEUSSP
223,16767,44-Glenferrie Rd/High St (Malvern),6
224,16768,43-Mercer Rd/High St (Armadale),6
225,16769,42-Huntingtower Rd/High St (Armadale),6
226,16770,41-Kooyong Rd/High St (Armadale),6
227,16771,40-Armadale Station/High St (Armadale),6
228,16772,39-Auburn Gr/High St (Armadale),6
229,16773,38-Orrong Rd/High St (Armadale),6
230,16774,37-Airlie Ave/High St (Prahran),6
231,16775,36-Chatsworth Rd/High St (Prahran),6
232,16776,35-Williams Rd/High St (Prahran),6
233,16777,34-Lewisham Rd/High St (Prahran),6
234,16778,33-The Avenue/High St (Prahran),6
235,1696,51-Nott St/Wattletree Rd (Malvern East),5
236,17306,40-North Coburg Terminus/Sydney Rd (Coburg North),19
237,17307,39-Mercy College/Sydney Rd (Coburg North),19
238,17308,38-Carr St/Sydney Rd (Coburg North),19
239,17309,37-Gaffney St/Sydney Rd (Coburg North),19
240,17310,36-Rogers St/Sydney Rd (Coburg),19
241,17311,35-St Pauls Catholic Church/Sydney Rd (Coburg),19
242,17312,34-Bell St/Sydney Rd (Coburg),19
243,17313,33-Coburg Market/Sydney Rd (Coburg),19
244,17314,32-Harding St/Sydney Rd (Coburg),19
245,17315,31-Edward St/Sydney Rd (Coburg),19
246,17316,30-The Avenue/Sydney Rd (Coburg),19
247,17317,29-Moore St/Sydney Rd (Coburg),19
248,17318,28-Moreland Rd/Sydney Rd (Coburg),19
249,17319,27-Brunswick Tram Depot/Sydney Rd (Brunswick),19
250,17320,26-Albion St/Sydney Rd (Brunswick),19
251,17321,25-Stewart St/Sydney Rd (Brunswick),19
252,17322,24-Blyth St/Sydney Rd (Brunswick),19
253,17323,23-Victoria St/Sydney Rd (Brunswick),19
254,17324,22-Albert St/Sydney Rd (Brunswick),19
255,17325,21-Glenlyon Rd/Sydney Rd (Brunswick),19
256,17327,19-Brunswick Rd/Sydney Rd (Brunswick),19
257,17328,18-Princes Park/Royal Pde (Parkville),19
258,17329,17-Ievers St/Royal Pde (Parkville),19
259,17330,16-Walker St/Royal Pde (Parkville),19
260,17331,15-Leonard St/Royal Pde (Parkville),19
261,17332,14-Cemetery Road West/Royal Pde (Parkville),19
262,17333,13-Gatehouse St/Royal Pde (Parkville),19
